Title,Authors,Abstract,Classifications,Submitted Date,arXiv identifier,DOI,BibTeX Entry,Abstract Summary by GPT-4 (5-16-23)
MRI lung lobe segmentation in pediatric cystic fibrosis patients using a recurrent neural network trained with publicly accessible CT datasets,"Orso Pusterla, Rahel Heule, Francesco Santini, Thomas Weikert, Corin Willers, Simon Andermatt, Robin Sandkühler, Sylvia Nyilas, Philipp Latzin, Oliver Bieri, Grzegorz Bauman","Purpose: To introduce a widely applicable workflow for pulmonary lobe segmentation of MR images using a recurrent neural network (RNN) trained with chest computed tomography (CT) datasets. The feasibility is demonstrated for 2D coronal ultra-fast balanced steady-state free precession (ufSSFP) MRI.
  Methods: Lung lobes of 250 publicly accessible CT datasets of adults were segmented with an open-source CT-specific algorithm. To match 2D ufSSFP MRI data of pediatric patients, both CT data and segmentations were translated into pseudo-MR images, masked to suppress anatomy outside the lung. Network-1 was trained with pseudo-MR images and lobe segmentations, and applied to 1000 masked ufSSFP images to predict lobe segmentations. These outputs were directly used as targets to train Network-2 and Network-3 with non-masked ufSSFP data as inputs, and an additional whole-lung mask as input for Network-2. Network predictions were compared to reference manual lobe segmentations of ufSSFP data in twenty pediatric cystic fibrosis patients. Manual lobe segmentations were performed by splitting available whole-lung segmentations into lobes.
  Results: Network-1 was able to segment the lobes of ufSSFP images, and Network-2 and Network-3 further increased segmentation accuracy and robustness. The average all-lobe Dice similarity coefficients were 95.0$\pm$2.8 (mean$\pm$pooled SD [%]), 96.4$\pm$2.0, 93.0$\pm$2.0, and the average median Hausdorff distances were 6.1$\pm$0.9 (mean$\pm$SD [mm]), 5.3$\pm$1.1, 7.1$\pm$1.3, for Network-1, Network-2, and Network-3, respectively.
  Conclusions: RNN lung lobe segmentation of 2D ufSSFP imaging is feasible, in good agreement with manual segmentations. The proposed workflow might provide access to automated lobe segmentations for various lung MRI examinations and quantitative analyses.","Medical Physics, Image and Video Processing","13 January, 2022",2108.13754,,"@misc{2108.13754,
      title={{MRI lung lobe segmentation in pediatric cystic fibrosis patients using a recurrent neural network trained with publicly accessible CT datasets}},
      author={{Orso Pusterla and Rahel Heule and Francesco Santini and Thomas Weikert and Corin Willers and Simon Andermatt and Robin Sandkühler and Sylvia Nyilas and Philipp Latzin and Oliver Bieri and Grzegorz Bauman}},
      year={2022},
      eprint={2108.13754},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","This scientific study aims to develop a workflow for segmenting pulmonary lobes in MRI images using a recurrent neural network (RNN) trained with chest CT datasets. The method involves using 250 publicly available CT datasets, transforming them into pseudo-MR images, and training multiple networks that predict lobe segmentations․ The results show that the RNN-based lung lobe segmentation of 2D ufSSFP imaging is feasible and in good agreement with manual segmentations. This workflow may provide access to automated lobe segmentations for various lung MRI exams and quantitative analyses."
Optimal efficiency of high frequency chest wall oscillations and links with resistance and compliance in a model of the lung,"Michaël Brunengo, Barrett R. Mitchell, Antonello Nicolini, Bernard Rousselet, Benjamin Mauroy","Chest physiotherapy is a set of techniques used to help the draining of the mucus from the lung in pathological situations. The choice of the techniques, and their adjustment to the patients or to the pathologies, remains as of today largely empirical. High Frequency Chest Wall Oscillation (HFCWO) is one of these techniques, performed with a device that applies oscillating pressures on the chest. However, there is no clear understanding of how HFCWO devices interact with the lung biomechanics. Hence, we study idealised HFCWO manipulations applied to a mathematical and numerical model of the biomechanics of the lung. The lung is represented by a fluid--structure interaction model based on an airway tree that is coupled to an homogeneous elastic medium. We show that our model is driven by two dimensionless numbers that drive the effect of the idealised HFCWO manipulation on the model of the lung. Our model allow to analyze the stress applied to an idealised mucus by the air--mucus interaction and by the airway walls deformation. This stress behaves as a buffer and has the effect of reducing the stress needed to overcome the idealised mucus yield stress. Moreover, our model predicts the existence of an optimal range of the working frequencies of HFCWO. This range is in agreement with the frequencies actually used by practitioners during HFCWO maneuvers. Finally, our model suggests that analyzing the mouth airflow during HFCWO maneuvers could allow to estimate the compliance and the hydrodynamic resistance of the lung of a patient.","Medical Physics, Computational Physics, Tissues and Organs","26 November, 2021",2108.02437,10.1063/5.0073842,"@misc{2108.02437,
      title={{Optimal efficiency of high frequency chest wall oscillations and links with resistance and compliance in a model of the lung}},
      author={{Michaël Brunengo and Barrett R. Mitchell and Antonello Nicolini and Bernard Rousselet and Benjamin Mauroy}},
      year={2021},
      eprint={2108.02437},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","This study focuses on understanding how High Frequency Chest Wall Oscillation (HFCWO) techniques interact with lung biomechanics for better treatment of patients with respiratory issues. The lung is represented through a fluid-structure interaction model, which helps analyze the stresses applied to mucus by air-mucus interaction and airway walls deformation. The model predicts an optimal range of working frequencies for HFCWO, which aligns with frequencies used by practitioners. Additionally, the model suggests that analyzing mouth airflow during HFCWO can help estimate a patient's lung compliance and hydrodynamic resistance."
Quantification of lung function on CT images based on pulmonary radiomic filtering,"Zhenyu Yang, Kyle J Lafata, Xinru Chen, James Bowsher, Yushi Chang, Chunhao Wang, Fang-Fang Yin","Purpose: To develop a radiomics filtering technique for characterizing spatial-encoded regional pulmonary ventilation information on lung CT. Methods: The lung volume was segmented on 46 CT images, and a 3D sliding window kernel was implemented across the lung volume to capture the spatial-encoded image information. Fifty-three radiomic features were extracted within the kernel, resulting in a 4th order tensor object. As such, each voxel coordinate of the original lung was represented as a 53-dimensional feature vector, such that radiomic features could be viewed as feature maps within the lungs. To test the technique as a potential pulmonary ventilation biomarker, the radiomic feature maps were compared to paired functional images (Galligas PET or DTPA-SPECT) based on Spearman correlation (r) analysis. Results: The radiomic feature map GLRLM-based Run-Length Non-Uniformity and GLCOM-based Sum Average are found to be highly correlated with the functional imaging. The achieved r (median [range]) for the two features are 0.46 [0.05, 0.67] and 0.45 [0.21, 0.65] across 46 patients and 2 functional imaging modalities, respectively. Conclusions: The results provide evidence that local regions of sparsely encoded heterogeneous lung parenchyma on CT are associated with diminished radiotracer uptake and measured lung ventilation defects on PET/SPECT imaging. These findings demonstrate the potential of radiomics to serve as a complementary tool to the current lung quantification techniques and provide hypothesis-generating data for future studies.",Medical Physics,"24 June, 2022",2105.11171,10.1002/mp.15837,"@misc{2105.11171,
      title={{Quantification of lung function on CT images based on pulmonary radiomic filtering}},
      author={{Zhenyu Yang and Kyle J Lafata and Xinru Chen and James Bowsher and Yushi Chang and Chunhao Wang and Fang-Fang Yin}},
      year={2022},
      eprint={2105.11171},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","A new radiomics filtering technique was developed to characterize spatial-encoded regional pulmonary ventilation information on lung CT. The technique was tested as a potential pulmonary ventilation biomarker by comparing radiomic feature maps to functional images. Results showed high correlation between certain radiomic features and functional imaging, indicating the potential of radiomics as a complementary tool for lung quantification techniques and providing data for future studies."
"FastMRI Prostate : A Publicly Available, Biparametric MRI Dataset to Advance Machine Learning for Prostate Cancer Imaging","Radhika Tibrewala, Tarun Dutt, Angela Tong, Luke Ginocchio, Mahesh B Keerthivasan, Steven H Baete, Sumit Chopra, Yvonne W Lui, Daniel K Sodickson, Hersh Chandarana, Patricia M Johnson","The fastMRI brain and knee dataset has enabled significant advances in exploring reconstruction methods for improving speed and image quality for Magnetic Resonance Imaging (MRI) via novel, clinically relevant reconstruction approaches. In this study, we describe the April 2023 expansion of the fastMRI dataset to include biparametric prostate MRI data acquired on a clinical population. The dataset consists of raw k-space and reconstructed images for T2-weighted and diffusion-weighted sequences along with slice-level labels that indicate the presence and grade of prostate cancer. As has been the case with fastMRI, increasing accessibility to raw prostate MRI data will further facilitate research in MR image reconstruction and evaluation with the larger goal of improving the utility of MRI for prostate cancer detection and evaluation. The dataset is available at https://fastmri.med.nyu.edu.","Medical Physics, Machine Learning, Image and Video Processing","18 April, 2023",2304.09254,,"@misc{2304.09254,
      title={{FastMRI Prostate : A Publicly Available, Biparametric MRI Dataset to Advance Machine Learning for Prostate Cancer Imaging}},
      author={{Radhika Tibrewala and Tarun Dutt and Angela Tong and Luke Ginocchio and Mahesh B Keerthivasan and Steven H Baete and Sumit Chopra and Yvonne W Lui and Daniel K Sodickson and Hersh Chandarana and Patricia M Johnson}},
      year={2023},
      eprint={2304.09254},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The fastMRI dataset has contributed to advancements in MRI reconstruction methods for better speed and image quality. In April 2023, the dataset expanded to include biparametric prostate MRI data from a clinical population. This study consists of raw k-space and reconstructed images for T2-weighted and diffusion-weighted sequences, including slice-level labels for prostate cancer presence and grade. The increased availability of raw prostate MRI data will promote research in MR image reconstruction and evaluation, ultimately improving MRI's utility for prostate cancer detection and assessment."
Variations of the relative biological effectiveness with fractionation in proton therapy: analysis of prostate cancer response,"Juan Pardo-Montero, Miguel Pombar, Antonio Gómez-Caamaño, Simona Giordanengo, Isabel González-Crespo","Purpose: To present a methodology to analyze the variation of the relative biological effectiveness (RBE) with fractionation from clinical data of tumor control probability (TCP) and to apply it to study the response of prostate cancer to proton therapy.
  Methods: We have analyzed the dependence of the RBE on the dose per fraction by using the LQ model and the Poisson TCP formalism. Experimental TCPs for prostate cancer (low risk, LR, and intermediate risk, IR) treated with photon and proton therapy for conventional fractionation (2 GyE$\times$37 fractions), moderate hypofractionation (3 GyE$\times$20 fractions) and hypofractionation (7.25 GyE$\times$5 fractions) were obtained from the literature and analyzed.
  Results: The dependence of the RBE on the dose per fraction presents three theoretical regions, with RBE monotonically decreasing, increasing or constant with the dose per fraction, depending on the change of ($α$, $β$) values between photon and proton irradiation (the equilibrium point being at ($α_p$/$β_p$)=($α_X$/$β_X$)($α_X$/$α_p$)). An analysis of the clinical data shows RBE values that decline with increasing dose per fraction: for LR RBE=1.124, 1.119, and 1.102 for 1.82 Gy, 2.73 Gy and 6.59 Gy per fraction (proton doses), respectively; for IR RBE=1.119, and 1.102 for 1.82 Gy, and 6.59 Gy per fraction, respectively.
  Conclusions: Our analysis shows a monotonically decreasing RBE with increasing dose per fraction for prostate cancer, which is expected from the LQ formalism and the changes in ($α$, $β$) between photon and proton irradiation. However, due to the limited number of schedules and patients per schedule, the observed decrease of RBE with increasing dose is not significant for LR prostate cancer. For IR prostate cancer, the RBE obtained at 7.25 GyE seems to be significantly lower than that obtained at 2 GyE.",Medical Physics,"16 March, 2023",2303.09485,,"@misc{2303.09485,
      title={{Variations of the relative biological effectiveness with fractionation in proton therapy: analysis of prostate cancer response}},
      author={{Juan Pardo-Montero and Miguel Pombar and Antonio Gómez-Caamaño and Simona Giordanengo and Isabel González-Crespo}},
      year={2023},
      eprint={2303.09485},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","This study presents a methodology to analyze the variation of relative biological effectiveness (RBE) with fractionation from clinical data of tumor control probability (TCP) for prostate cancer undergoing proton therapy. The analysis shows that RBE decreases with increasing dose per fraction, as per the LQ formalism and the changes in the alpha and beta values between photon and proton irradiation. However, the observed decrease of RBE with an increasing dose is not significant for low-risk prostate cancer, and further studies with more schedules and patients are needed to validate the findings."
Prostate Lesion Estimation using Prostate Masks from Biparametric MRI,"Ahmet Karagoz, Mustafa Ege Seker, Mert Yergin, Tarkan Atak Kan, Mustafa Said Kartal, Ercan Karaarslan, Deniz Alis, Ilkay Oksuz","Biparametric MRI has emerged as an alternative to multiparametric prostate MRI, which eliminates the need for the potential harms to the patient due to the contrast medium. One major issue with biparametric MRI is difficulty to detect clinically significant prostate cancer (csPCA). Deep learning algorithms have emerged as an alternative solution to detect csPCA in cohort studies. We present a workflow which predicts csPCA on biparametric prostate MRI PI-CAI 2022 Challenge with over 10,000 carefully-curated prostate MRI exams. We propose to to segment the prostate gland first to the central gland (transition + central zone) and the peripheral gland. Then we utilize these predcitions in combination with T2, ADC and DWI images to train an ensemble nnU-Net model. Finally, we utilize clinical indices PSA and ADC intensity distributions of lesion regions to reduce the false positives. Our method achieves top results on open-validation stage with a AUROC of 0.888 and AP of 0.732.","Medical Physics, Computer Vision and Pattern Recognition, Image and Video Processing","11 January, 2023",2301.09673,,"@misc{2301.09673,
      title={{Prostate Lesion Estimation using Prostate Masks from Biparametric MRI}},
      author={{Ahmet Karagoz and Mustafa Ege Seker and Mert Yergin and Tarkan Atak Kan and Mustafa Said Kartal and Ercan Karaarslan and Deniz Alis and Ilkay Oksuz}},
      year={2023},
      eprint={2301.09673},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","Biparametric MRI is an alternative to multiparametric prostate MRI, but it has difficulty detecting clinically significant prostate cancer (csPCA). A deep learning workflow is proposed to predict csPCA using biparametric prostate MRI data from over 10,000 exams. The prostate gland is segmented and combined with various imaging techniques to train an ensemble nnU-Net model. Clinical indices are used to reduce false positives, and the method achieves top results with an AUROC of 0.888 and AP of 0.732."
Quasi-Real Time Multi-Frequency 3D Shear Wave Absolute Vibro-Elastography (S-WAVE) System for Prostate,"Tajwar Abrar Aleef, Julio Lobo, Ali Baghani, Hani Eskandari, Hamid Moradi, Robert Rohling, S. Larry Goldenberg, William James Morris, S. Sara Mahdavi, Septimiu E. Salcudean","This article describes a novel quasi-real time system for quantitative and volumetric measurement of tissue elasticity in the prostate. Tissue elasticity is computed by using a local frequency estimator to measure the three dimensional local wavelengths of a steady-state shear wave within the prostate gland. The shear wave is created using a mechanical voice coil shaker which transmits multi-frequency vibrations transperineally. Radio frequency data is streamed directly from a BK Medical 8848 trans-rectal ultrasound transducer to an external computer where tissue displacement due to the excitation is measured using a speckle tracking algorithm. Bandpass sampling is used that eliminates the need for an ultra fast frame rate to track the tissue motion and allows for accurate reconstruction at a sampling frequency that is below the Nyquist rate. A roll motor with computer control is used to rotate the sagittal array of the transducer and obtain the 3D data. Two CIRS phantoms were used to validate both the accuracy of the elasticity measurement as well as the functional feasibility of using the system for in vivo prostate imaging. The system has been used in two separate clinical studies as a method for cancer identification. The results, presented here, show numerical and visual correlations between our stiffness measurements and cancer likelihood as determined from pathology results. Initial published results using this system include an area under the receiver operating characteristic curve of 0.82+/-0.01 with regards to prostate cancer identification in the peripheral zone.","Medical Physics, Signal Processing","9 May, 2022",2205.04038,,"@misc{2205.04038,
      title={{Quasi-Real Time Multi-Frequency 3D Shear Wave Absolute Vibro-Elastography (S-WAVE) System for Prostate}},
      author={{Tajwar Abrar Aleef and Julio Lobo and Ali Baghani and Hani Eskandari and Hamid Moradi and Robert Rohling and S. Larry Goldenberg and William James Morris and S. Sara Mahdavi and Septimiu E. Salcudean}},
      year={2022},
      eprint={2205.04038},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The article presents a new system for measuring tissue elasticity in the prostate using a frequency estimator, voice coil shaker, and ultrasound. The system has lower sampling needs and allows for 3D data collection. Validation tests with phantom models show accurate results and the system has been used in clinical studies as a method for cancer identification, highlighting positive correlations between stiffness measurements and cancer likelihood."
Radiomic biomarker extracted from PI-RADS 3 patients support more eìcient and robust prostate cancer diagnosis: a multi-center study,"Longfei Li, Rui Yang, Xin Chen, Cheng Li, Hairong Zheng, Yusong Lin, Zaiyi Liu, Shanshan Wang","Prostate Imaging Reporting and Data System (PI-RADS) based on multi-parametric MRI classiêes patients into 5 categories (PI-RADS 1-5) for routine clinical diagnosis guidance. However, there is no consensus on whether PI-RADS 3 patients should go through biopsies. Mining features from these hard samples (HS) is meaningful for physicians to achieve accurate diagnoses. Currently, the mining of HS biomarkers is insuìcient, and the eéectiveness and robustness of HS biomarkers for prostate cancer diagnosis have not been explored. In this study, biomarkers from diéerent data distributions are constructed. Results show that HS biomarkers can achieve better performances in diéerent data distributions.","Image and Video Processing, Computer Vision and Pattern Recognition, Medical Physics","23 December, 2021",2112.13686,,"@misc{2112.13686,
      title={{Radiomic biomarker extracted from PI-RADS 3 patients support more eìcient and robust prostate cancer diagnosis: a multi-center study}},
      author={{Longfei Li and Rui Yang and Xin Chen and Cheng Li and Hairong Zheng and Yusong Lin and Zaiyi Liu and Shanshan Wang}},
      year={2021},
      eprint={2112.13686},
      archivePrefix={arXiv},
      primaryClass={Image and Video Processing}
}",The study focuses on the use of Prostate Imaging Reporting and Data System (PI-RADS) in classifying patients for prostate cancer diagnosis. It specifically addresses the uncertainty regarding biopsies for PI-RADS 3 patients. The research explores the effectiveness and robustness of hard sample (HS) biomarkers in prostate cancer diagnosis and shows that these biomarkers can achieve better performances in different data distributions.
A Review on The Division of Magnetic Resonant Prostate Images with Deep Learning,"Elcin Huseyn, Emin Mammadov, Mohammad Hoseini","Deep learning; it is often used in dividing processes on images in the biomedical field. In recent years, it has been observed that there is an increase in the division procedures performed on prostate images using deep learning compared to other methods of image division. Looking at the literature; It is seen that the process of dividing prostate images, which are carried out with deep learning, is an important step for the diagnosis and treatment of prostate cancer. For this reason, in this study; to be a source for future splitting operations; deep learning splitting procedures on prostate images obtained from magnetic resonance (MRI) imaging devices were examined.","Image and Video Processing, Computer Vision and Pattern Recognition, Machine Learning, Neural and Evolutionary Computing, Medical Physics","20 November, 2021",2111.10683,,"@misc{2111.10683,
      title={{A Review on The Division of Magnetic Resonant Prostate Images with Deep Learning}},
      author={{Elcin Huseyn and Emin Mammadov and Mohammad Hoseini}},
      year={2021},
      eprint={2111.10683},
      archivePrefix={arXiv},
      primaryClass={Image and Video Processing}
}","The use of deep learning for dividing prostate images from MRI scans has increased in recent years, proving to be an essential step in diagnosing and treating prostate cancer. This study aims to analyze deep learning procedures on prostate images to inform future splitting operations in the biomedical field."
"Deep Learning for fully automatic detection, segmentation, and Gleason Grade estimation of prostate cancer in multiparametric Magnetic Resonance Images","Oscar J. Pellicer-Valero, José L. Marenco Jiménez, Victor Gonzalez-Perez, Juan Luis Casanova Ramón-Borja, Isabel Martín García, María Barrios Benito, Paula Pelechano Gómez, José Rubio-Briones, María José Rupérez, José D. Martín-Guerrero","The emergence of multi-parametric magnetic resonance imaging (mpMRI) has had a profound impact on the diagnosis of prostate cancers (PCa), which is the most prevalent malignancy in males in the western world, enabling a better selection of patients for confirmation biopsy. However, analyzing these images is complex even for experts, hence opening an opportunity for computer-aided diagnosis systems to seize. This paper proposes a fully automatic system based on Deep Learning that takes a prostate mpMRI from a PCa-suspect patient and, by leveraging the Retina U-Net detection framework, locates PCa lesions, segments them, and predicts their most likely Gleason grade group (GGG). It uses 490 mpMRIs for training/validation, and 75 patients for testing from two different datasets: ProstateX and IVO (Valencia Oncology Institute Foundation). In the test set, it achieves an excellent lesion-level AUC/sensitivity/specificity for the GGG$\geq$2 significance criterion of 0.96/1.00/0.79 for the ProstateX dataset, and 0.95/1.00/0.80 for the IVO dataset. Evaluated at a patient level, the results are 0.87/1.00/0.375 in ProstateX, and 0.91/1.00/0.762 in IVO. Furthermore, on the online ProstateX grand challenge, the model obtained an AUC of 0.85 (0.87 when trained only on the ProstateX data, tying up with the original winner of the challenge). For expert comparison, IVO radiologist's PI-RADS 4 sensitivity/specificity were 0.88/0.56 at a lesion level, and 0.85/0.58 at a patient level. Additional subsystems for automatic prostate zonal segmentation and mpMRI non-rigid sequence registration were also employed to produce the final fully automated system. The code for the ProstateX-trained system has been made openly available at https://github.com/OscarPellicer/prostate_lesion_detection. We hope that this will represent a landmark for future research to use, compare and improve upon.","Medical Physics, Computer Vision and Pattern Recognition","2 February, 2022",2103.1265,,"@misc{2103.12650,
      title={{Deep Learning for fully automatic detection, segmentation, and Gleason Grade estimation of prostate cancer in multiparametric Magnetic Resonance Images}},
      author={{Oscar J. Pellicer-Valero and José L. Marenco Jiménez and Victor Gonzalez-Perez and Juan Luis Casanova Ramón-Borja and Isabel Martín García and María Barrios Benito and Paula Pelechano Gómez and José Rubio-Briones and María José Rupérez and José D. Martín-Guerrero}},
      year={2022},
      eprint={2103.12650},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","This paper presents a fully automatic deep learning system for analyzing multi-parametric magnetic resonance imaging (mpMRI) to locate, segment, and predict the Gleason grade group of prostate cancer lesions. The system is based on the Retina U-Net detection framework and tested on two datasets: ProstateX and IVO. Results show high lesion-level and patient-level accuracy, outperforming expert radiologist evaluations. The authors have made the ProstateX-trained system code available on GitHub, providing a starting point for future research in the field."
The impact of reference isocentre position on set-up errors in head -and- neck image guided radiotherapy,"Helena Lenko, Primož Peterlin","Aim: To examine and quantify set-up errors in patient positioning in head-and-neck radiotherapy and to investigate the impact of the choice of reference isocentre -- on the patient neck or patient skull -- on the magnitude of set-up errors.
  Materials and methods: Set-up position corrections obtained using online kV 2D/2D matching were recorded automatically for every treatment fraction. 3413 treatment records for 117 patients treated with volumetric modulated arc therapy (VMAT) during 2013 and 2014 on a single treatment machine in our clinic were analysed. In 79 treatment plans the reference isocentre was set to the patient skull, and in 47 to the neck.
  Results: Standard deviation of group systematic error in the vertical, longitudinal and lateral direction and the couch rotation were found to be 2.5 mm, 2.1 mm, 1.9 mm and 0.43° (skull) and 2.5 mm, 1.8 mm, 1.7 mm and 0.49° (neck). Random error of the vertical, longitudinal, lateral and rotational position correction was 1.8 mm, 1.5 mm, 1.6 mm and 0.62° (skull) and 1.9 mm, 1.6 mm, 1.5 mm and 0.60° (neck). Positional shifts in different directions were found to be uncorrelated.
  Conclusions: Neither reference isocentre set-up shows a clear advantage over the other in terms of interfraction set-up error.",Medical Physics,"27 February, 2023",2302.13801,10.1017/S1460396917000504,"@misc{2302.13801,
      title={{The impact of reference isocentre position on set-up errors in head -and- neck image guided radiotherapy}},
      author={{Helena Lenko and Primož Peterlin}},
      year={2023},
      eprint={2302.13801},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","This study aimed to examine and quantify set-up errors in patient positioning in head-and-neck radiotherapy and investigate the impact of reference isocentre choice (patient neck or skull) on these errors. 3413 treatment records from 117 patients treated with VMAT during 2013 and 2014 were analyzed. The results showed that neither reference isocentre set-up had a clear advantage over the other in terms of interfraction set-up error, and positional shifts in different directions were uncorrelated."
Head -and- neck multi-channel B1+ mapping and carotid arteries RF shimming using a parallel transmit head coil,"Matthijs H. S. de Buck, Peter Jezzard, Aaron T. Hess","Purpose: Neurovascular MRI suffers from a rapid drop in B1+ into the neck when using transmit head coils at 7T. One solution to improving B1+ magnitude in the major feeding arteries in the neck is to use custom RF shims on parallel transmit (pTx) head coils. However, calculating such shims requires robust multi-channel B1+ maps in both the head and the neck, which is challenging due to low RF penetration into the neck, limited dynamic range of multi-channel B1+ mapping techniques, and B0 sensitivity. We therefore sought a robust large-dynamic-range pTx field mapping protocol, and tested whether RF shimming can improve carotid artery B1+ in practice.
  Methods: A pipeline is presented that combines B1+ mapping data acquired using circularly polarized (CP-) and CP2-mode RF shims at multiple voltages. The pipeline was evaluated by comparing the predicted and measured B1+ for multiple random transmit shims, and by assessing the ability of RF shimming to increase the B1+ in the carotid arteries.
  Results: The proposed method achieved good agreement between predicted and measured B1+ in both the head and the neck. The B1+ magnitude in the carotid arteries can be increased by 42% using tailored RF shims or by 37% using universal RF shims, while also improving the RF homogeneity compared to CP mode.
  Conclusion: B1+ in the neck can be increased using RF shims calculated from multi-channel B1+ maps in both the head and the neck. This can be achieved using universal phase-only RF shims, facilitating easy implementation in existing sequences.",Medical Physics,"30 December, 2022",2212.14596,,"@misc{2212.14596,
      title={{Head -and- neck multi-channel B1+ mapping and carotid arteries RF shimming using a parallel transmit head coil}},
      author={{Matthijs H. S. de Buck and Peter Jezzard and Aaron T. Hess}},
      year={2022},
      eprint={2212.14596},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","Neurovascular MRI at 7T faces challenges in signal strength in the neck area. Researchers developed a method to improve signal strength in neck arteries by using custom radiofrequency (RF) shims on head coils. They combined data from multiple sources to create a robust mapping protocol and found that tailored or universal RF shims could increase signal strength by 42% and 37%, respectively, while also improving homogeneity. This approach can be implemented in existing MRI sequences, potentially enhancing neurovascular imaging."
Towards reliable head and neck cancers locoregional recurrence prediction using delta-radiomics and learning with rejection option,"Kai Wang, Michael Dohopolski, Qiongwen Zhang, David Sher, Jing Wang","A reliable locoregional recurrence (LRR) prediction model is important for the personalized management of head and neck cancers (HNC) patients. This work aims to develop a delta-radiomics feature-based multi-classifier, multi-objective, and multi-modality (Delta-mCOM) model for post-treatment HNC LRR prediction and adopting a learning with rejection option (LRO) strategy to boost the prediction reliability by rejecting samples with high prediction uncertainties. In this retrospective study, we collected PET/CT image and clinical data from 224 HNC patients. We calculated the differences between radiomics features extracted from PET/CT images acquired before and after radiotherapy as the input features. Using clinical parameters, PET and CT radiomics features, we built and optimized three separate single-modality models. We used multiple classifiers for model construction and employed sensitivity and specificity simultaneously as the training objectives. For testing samples, we fused the output probabilities from all these single-modality models to obtain the final output probabilities of the Delta-mCOM model. In the LRO strategy, we estimated the epistemic and aleatoric uncertainties when predicting with Delta-mCOM model and identified patients associated with prediction of higher reliability. Predictions with higher epistemic uncertainty or higher aleatoric uncertainty than given thresholds were deemed unreliable, and they were rejected before providing a final prediction. Different thresholds corresponding to different low-reliability prediction rejection ratios were applied. The inclusion of the delta-radiomics feature improved the accuracy of HNC LRR prediction, and the proposed Delta-mCOM model can give more reliable predictions by rejecting predictions for samples of high uncertainty using the LRO strategy.","Medical Physics, Image and Video Processing","30 August, 2022",2208.14452,10.1002/mp.16132,"@misc{2208.14452,
      title={{Towards reliable head and neck cancers locoregional recurrence prediction using delta-radiomics and learning with rejection option}},
      author={{Kai Wang and Michael Dohopolski and Qiongwen Zhang and David Sher and Jing Wang}},
      year={2022},
      eprint={2208.14452},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The study aimed to develop a delta-radiomics feature-based model (Delta-mCOM) for predicting locoregional recurrence (LRR) in head and neck cancer (HNC) patients after treatment. The model incorporated PET/CT images and clinical data from 224 patients. Using multiple classifiers and objectives, the researchers built single-modality models with improved accuracy in LRR prediction. The learning with rejection option (LRO) strategy was used to increase prediction reliability by rejecting samples with high uncertainty. Overall, the Delta-mCOM model showed more reliable predictions for HNC LRR by incorporating delta-radiomics features and using LRO strategy to handle uncertain cases."
Machine Learning to Generate Adjustable Dose Distributions in Head -and- Neck Cancer Radiation Therapy,"Davood Hajinezhad, Afshin Oroojlooy, Mohammadreza Nazari, Xin Hunt, Jorge Silva, Colette Shen, Bhisham Chera, Shiva K. Das","In this work, we propose a Machine Learning model that generates an adjustable 3D dose distribution for external beam radiation therapy for head-and-neck cancer treatments. In contrast to existing Machine Learning methods that provide a single model, we create pairs of models for each organ-at-risk, namely lower-extreme and upper-extreme models. These model pairs for an organ-at-risk propose doses that give lower and higher doses to that organ-at-risk, while also encapsulating the dose trade-off to other organs-at-risk. By weighting and combining the model pairs for all organs-at-risk, we are able to dynamically create adjustable dose distributions that can be used, in real-time, to move doses between organs-at-risk, thereby customizing the dose distribution to the needs of a particular patient. We leverage a key observation that the training data set inherently contains the clinical trade-offs. We show that the adjustable distributions are able to provide reasonable clinical dose latitude in the trade-off of doses between organs-at-risk.",Medical Physics,"14 July, 2022",2207.07168,,"@misc{2207.07168,
      title={{Machine Learning to Generate Adjustable Dose Distributions in Head -and- Neck Cancer Radiation Therapy}},
      author={{Davood Hajinezhad and Afshin Oroojlooy and Mohammadreza Nazari and Xin Hunt and Jorge Silva and Colette Shen and Bhisham Chera and Shiva K. Das}},
      year={2022},
      eprint={2207.07168},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The researchers propose a Machine Learning model for generating adjustable 3D dose distributions in head-and-neck cancer treatments using external beam radiation therapy. The model creates pairs of lower-extreme and upper-extreme models for each organ-at-risk to propose customizable doses. By combining model pairs for all organs-at-risk, adjustable dose distributions can be created, allowing for real-time customization of doses for individual patients. This method provides reasonable clinical dose latitude and accounts for trade-offs between organs-at-risk."
